ABS,Adjustable_Seat,Bore,Cam_Type,Carburettor,Charging_Method,Clutch_Type,Colour,Compression_Ratio,Cooling,Country_of_Origin,Cylinders,Drive_Type,Dry_Weight,Engine_Config,Engine_Description,Engine_Type,Engine_Voltage,Exhaust_Config,First_Seen,Frame_Material,Front_Brake_Caliper(s),Front_Brake_Description,Front_Brake_Diameter,Front_Suspension,Front_Suspension_Travel,Fuel_Tank_Capacity,Gear_Change_Method,Gear_Number,Gear_Type,Ground_Clearance,Height,Ignition,Kilometers,Last_Modified,Last_Seen,Learner_Approved,Length,Linked_Braking_System,Make,Maximum_Power,Maximum_Power_RPM,Maximum_Torque,Maximum_Torque_RPM,Model,Network_ID,Postcode,Price,Rake_(Caster_Angle),Rear_Brake_Caliper(s),Rear_Brake_Description,Rear_Brake_Diameter,Rear_Suspension,Rear_Suspension_Travel,Recommended_RON,Registration_Expiry,Seat_Height,Seating_Capacity,Seating_Position,Side_Stand,Side_Stand_Start_Inhibitor,Starter,State,Stroke,Suburb,Swingarm_Type,Throttle_Bore,Traction_Control,Trail,URL,Valves_Per_Cylinder,Warranty_in_Months_from_First_Registration,Wet_Operational_Weight,Wheel_Type,Wheelbase,Width,Release_Year,Seller
No,No,75.0,DOHC (Double Over Head Cam),PGM-FI Programmed fuel inection system,Engine,,red,12.0,Liquid,JAPAN,4.0,Chain - O'Ring,179.0,Inline,1000.0,Piston,12.0,,2019-09-08,,Four Piston,"Twin floating discs, Hydraulic; DOT 4",320.0,"43mm inverted HMAS cartridge fork; spring preload, rebound & compression damping adjustability",109.0,18.0,Left foot lever,6.0,Manual,130.0,1120.0,CDI (Capacitive Discharge Ignition),60000.0,2019-09-08,2019-09-08,No,2025.0,No,Honda,130.2,12000.0,120.0,9000.0,Fireblade,SSE-AD-6277997,2489.0,3000,23.45,Single Piston,Single disc; Hydraulic; DOT 4,220.0,"Unit Pro-Link HMAS single shock absorber; Spring preload, rebound & compression damping adjustability",137.0,95.0,01/01/1970,820.0,2.0,Forward,Standard,Standard,Electric,NSW,56.5,Hastings point,Dual Sided,,No,102.0,https://www.bikesales.com.au/bikes/details/2004-honda-cbr1000rr-fireblade/SSE-AD-6277997/?Cr=0,4.0,24,205.0,,1410.0,720.0,2004,Private
No,No,75.0,DOHC (Double Over Head Cam),PGM-FI Programmed fuel inection system,Alternator & Regulator-Rectifier,"Wet, Multi-disc",black,2.0,Liquid,JAPAN,4.0,#530 Chain,176.0,Inline,1000.0,Piston,12.0,,2019-09-08,Die-cast aluminium,,"Twin disc, Hydraulic",320.0,Upside down cartridge type telescopic fork,120.0,18.0,Left foot lever,6.0,Manual,130.0,1120.0,CDI (Capacitive Discharge Ignition),16200.0,2019-09-08,2019-09-08,No,2030.0,No,Honda,130.2,12000.0,120.0,9000.0,Fireblade,SSE-AD-6277540,3717.0,10500,23.45,,"Single disc, Hydraulic",220.0,Pro-link gas charged shock absorber; 13-step preload adjustment,135.0,91.0,01/07/2020,831.0,2.0,Forward,Standard,Standard,Electric,VIC,56.5,Murrindindi,Dual Sided,44.0,No,102.0,https://www.bikesales.com.au/bikes/details/2010-honda-cbr1000rr-fireblade/SSE-AD-6277540/?Cr=75,4.0,24,205.0,Black; 3-spoke,1405.0,720.0,2010,Private
No,No,75.0,DOHC (Double Over Head Cam),"Keihin, CVKD40 (Constant Velocity)",Engine,"Wet, Multi-disc",blue,11.0,Liquid & Oil,JAPAN,4.0,Chain,183.0,Inline,900.0,Piston,12.0,,2019-08-07,,Four Piston,Twin disc; Hydraulic (DOT 4),320.0,Telescopic fork; Adjustable,,19.0,Left foot lever,6.0,Manual,160.0,1155.0,,33000.0,2019-07-31,2019-08-12,No,2050.0,No,Kawasaki,104.0,11000.0,100.0,9000.0,ZX,SSE-AD-5624710,6510.0,3300,24.0,Double Piston,Single disc,,Monoshock; remote reservoir,,91.0,01/06/2019,,2.0,Forward,Standard,,Electric,WA,50.9,Moora,Dual Sided,40.0,No,93.0,https://www.bikesales.com.au/bikes/details/1999-kawasaki-zx-9r/SSE-AD-5624710/?Cr=1,4.0,0,,3-spoke; Cast aluminium,1415.0,720.0,1999,Private
No,No,75.0,DOHC (Double Over Head Cam),"Keihin, CVK40 (Constant Velocity)",Engine,"Wet, Multi-disc",green,12.0,Liquid & Oil,JAPAN,4.0,Chain,183.0,Inline,900.0,Piston,12.0,,2019-08-07,,Four Piston,Twin disc; Hydraulic (DOT 4),320.0,46mm Telescopic cartridge fork; Adjustable preload,,19.0,Left foot lever,6.0,Manual,160.0,1155.0,Digital,25146.0,2019-06-25,2019-09-08,No,2050.0,No,Kawasaki,105.0,11000.0,100.0,10000.0,ZX,SSE-AD-5400413,3551.0,4900,24.0,Double Piston,Single disc; Hydraulic,,Bottom-Link Uni-Trak; Monoshock; remote reservoir,,91.0,01/11/2018,,2.0,Forward,Standard,,Electric,VIC,50.9,Junortoun,Dual Sided,40.0,No,97.0,https://www.bikesales.com.au/bikes/details/2001-kawasaki-zx-9r/SSE-AD-5400413/?Cr=9,4.0,0,,3-spoke; Cast aluminium,1415.0,730.0,2001,Private
No,No,75.0,DOHC (Double Over Head Cam),"Keihin, CVKD40 (Constant Velocity)",Engine,"Wet, Multi-disc",green,11.0,Liquid & Oil,JAPAN,4.0,Chain,183.0,Inline,900.0,Piston,12.0,,2019-08-07,,Four Piston,Twin disc; Hydraulic (DOT 4),320.0,Telescopic fork; Adjustable,,19.0,Left foot lever,6.0,Manual,160.0,1155.0,,19844.0,,2019-09-08,No,2050.0,No,Kawasaki,104.0,11000.0,100.0,9000.0,ZX,OAG-AD-17410559,0.0,6495,24.0,Double Piston,Single disc,,Monoshock; remote reservoir,,91.0,01/01/1970,,2.0,Forward,Standard,,Electric,QLD,50.9,none,Dual Sided,40.0,No,93.0,https://www.bikesales.com.au/bikes/details/1999-kawasaki-zx-9r/OAG-AD-17410559/?Cr=13,4.0,0,,3-spoke; Cast aluminium,1415.0,720.0,1999,Dealer
No,No,67.0,DOHC (Double Over Head Cam),EFI - Electronic Fuel Injection; Denso injectors,Engine,"Wet, Multi Plate, Slipper",red,12.0,Liquid,JAPAN,4.0,Chain - O'Ring,161.9,Inline,600.0,Piston,12.0,4 into 1,2019-07-02,,Four Piston,"Twin floating discs, Radial caliper; Hydraulic",298.0,41mm inverted telescopic fork,120.0,17.5,Left foot lever,6.0,Manual,135.0,1105.0,,58728.0,2019-06-08,2019-07-12,No,2045.0,No,Yamaha,,,,,YZF_R6,SSE-AD-6062201,4164.0,4000,24.0,,Single disc; Hydraulic,220.0,"Single shock absorber, Adjustable",120.0,95.0,01/09/2019,830.0,2.0,Forward,Yes,Standard,Electric,QLD,42.5,Thornlands,Dual Sided,,No,86.0,https://www.bikesales.com.au/bikes/details/2007-yamaha-yzf-r6/SSE-AD-6062201/?Cr=10,4.0,0,183.0,Black; 3-spoke,1385.0,690.0,2007,Private
No,No,67.0,DOHC (Double Over Head Cam),EFI - Electronic Fuel Injection; YCC-T (Yamaha Chip controlled throttle); YCC-I,Engine,"Wet, multiple-disc coil spring",silver,13.0,Liquid,JAPAN,4.0,Chain - O'Ring,166.0,Inline,600.0,Piston,12.0,4 into 1,2019-07-02,Aluminium die-cast,Four Piston,Twin disc; Hydraulic,310.0,Upside down telescopic fork,115.0,17.3,Left foot lever,6.0,Manual,130.0,1100.0,,29037.0,2019-07-01,2019-07-12,No,2040.0,No,Yamaha,101.0,,,,YZF_R6,SSE-AD-5275526,4220.0,5400,24.0,Double Piston,Single disc; Hydraulic,210.0,Swingarm (link suspension),120.0,95.0,01/11/2019,850.0,2.0,Forward,Yes,Standard,Electric,QLD,42.5,Burleigh waters,Dual Sided,,No,86.0,https://www.bikesales.com.au/bikes/details/2008-yamaha-yzf-r6/SSE-AD-5275526/?Cr=19,4.0,0,183.0,Black; 3-spoke,1380.0,705.0,2008,Private
No,No,67.0,DOHC (Double Over Head Cam),EFI - Electronic Fuel Injection; Denso injectors,Engine,"Wet, Multi Plate, Slipper",black,12.0,Liquid,JAPAN,4.0,Chain - O'Ring,161.9,Inline,600.0,Piston,12.0,4 into 1,2019-07-02,,Four Piston,"Twin floating discs, Radial caliper; Hydraulic",298.0,41mm inverted telescopic fork,120.0,17.5,Left foot lever,6.0,Manual,135.0,1105.0,,62000.0,2019-06-13,2019-09-08,No,2045.0,No,Yamaha,,,,,YZF_R6,SSE-AD-5845292,2261.0,5750,24.0,,Single disc; Hydraulic,220.0,"Single shock absorber, Adjustable",120.0,95.0,01/10/2019,830.0,2.0,Forward,Yes,Standard,Electric,NSW,42.5,The entrance,Dual Sided,,No,86.0,https://www.bikesales.com.au/bikes/details/2007-yamaha-yzf-r6/SSE-AD-5845292/?Cr=22,4.0,0,183.0,Black; 3-spoke,1385.0,690.0,2007,Private
No,No,67.0,DOHC (Double Over Head Cam),EFI - Electronic Fuel Injection; Denso injectors,Engine,"Wet, Multi Plate, Slipper",blue,12.0,Liquid,JAPAN,4.0,Chain - O'Ring,161.9,Inline,600.0,Piston,12.0,4 into 1,2019-07-02,,Four Piston,"Twin floating discs, Radial caliper; Hydraulic",298.0,41mm inverted telescopic fork,120.0,17.5,Left foot lever,6.0,Manual,135.0,1105.0,,28000.0,2019-05-27,2019-09-08,No,2045.0,No,Yamaha,,,,,YZF_R6,SSE-AD-3695742,7000.0,6000,24.0,,Single disc; Hydraulic,220.0,"Single shock absorber, Adjustable",120.0,95.0,01/01/1970,830.0,2.0,Forward,Yes,Standard,Electric,TAS,42.5,Glebe,Dual Sided,,No,86.0,https://www.bikesales.com.au/bikes/details/2007-yamaha-yzf-r6/SSE-AD-3695742/?Cr=24,4.0,0,183.0,Black; 3-spoke,1385.0,690.0,2007,Private
No,No,67.0,DOHC (Double Over Head Cam),EFI - Electronic Fuel Injection; Denso injectors,Engine,"Wet, Multi Plate, Slipper",black,12.0,Liquid,JAPAN,4.0,Chain - O'Ring,161.9,Inline,600.0,Piston,12.0,4 into 1,2019-07-02,,Four Piston,"Twin floating discs, Radial caliper; Hydraulic",298.0,41mm inverted telescopic fork,120.0,17.5,Left foot lever,6.0,Manual,135.0,1105.0,,59945.0,,2019-07-12,No,2045.0,No,Yamaha,,,,,YZF_R6,OAG-AD-17236281,0.0,6490,24.0,,Single disc; Hydraulic,220.0,"Single shock absorber, Adjustable",120.0,95.0,01/06/2019,830.0,2.0,Forward,Yes,Standard,Electric,VIC,42.5,none,Dual Sided,,No,86.0,https://www.bikesales.com.au/bikes/details/2007-yamaha-yzf-r6/OAG-AD-17236281/?Cr=30,4.0,0,183.0,Black; 3-spoke,1385.0,690.0,2007,Dealer
No,No,67.0,DOHC (Double Over Head Cam),EFI - Electronic Fuel Injection; YCC-T (Yamaha Chip controlled throttle); YCC-I,Engine,"Wet, multiple-disc coil spring",black,13.0,Liquid,JAPAN,4.0,Chain - O'Ring,166.0,Inline,600.0,Piston,12.0,4 into 1,2019-07-02,Aluminium die-cast,Four Piston,Twin disc; Hydraulic,310.0,Upside down telescopic fork,115.0,17.3,Left foot lever,6.0,Manual,130.0,1100.0,,32048.0,,2019-09-08,No,2040.0,No,Yamaha,101.0,,,,YZF_R6,OAG-AD-17132642,0.0,6499,24.0,Double Piston,Single disc; Hydraulic,210.0,Swingarm (link suspension),120.0,95.0,01/11/2019,850.0,2.0,Forward,Yes,Standard,Electric,SA,42.5,none,Dual Sided,,No,86.0,https://www.bikesales.com.au/bikes/details/2008-yamaha-yzf-r6/OAG-AD-17132642/?Cr=31,4.0,0,183.0,Black; 3-spoke,1380.0,705.0,2008,Dealer
No,No,67.0,DOHC (Double Over Head Cam),EFI - Electronic Fuel Injection; Mikuni 41EIDW/1Throttle body,Engine,Wet; Multi-disc; Coil spring,white,13.0,Liquid,JAPAN,4.0,Chain - O'Ring,166.0,Inline,600.0,Piston,12.0,4 into 1,2019-07-02,Aluminium die-cast,Four Piston,Twin disc; Hydraulic,310.0,Upside down telescopic fork,115.0,17.3,Left foot lever,6.0,Manual,130.0,1100.0,,45000.0,2019-05-31,2019-07-12,No,2040.0,No,Yamaha,101.0,,,,YZF_R6,SSE-AD-4049177,4575.0,6500,24.0,Double Piston,Single disc; Hydraulic,210.0,Swingarm (link suspension),120.0,95.0,01/11/2019,850.0,2.0,Forward,Yes,Standard,Electric,QLD,42.5,Minyama,Dual Sided,,No,86.0,https://www.bikesales.com.au/bikes/details/2010-yamaha-yzf-r6/SSE-AD-4049177/?Cr=32,4.0,0,183.0,Black; 3-spoke,1380.0,705.0,2010,Private
No,No,67.0,DOHC (Double Over Head Cam),EFI - Electronic Fuel Injection; Denso injectors,Engine,"Wet, Multi Plate, Slipper",black,12.0,Liquid,JAPAN,4.0,Chain - O'Ring,161.9,Inline,600.0,Piston,12.0,4 into 1,2019-07-02,,Four Piston,"Twin floating discs, Radial caliper; Hydraulic",298.0,41mm inverted telescopic fork,120.0,17.5,Left foot lever,6.0,Manual,135.0,1105.0,,25732.0,2019-07-01,2019-09-08,No,2045.0,No,Yamaha,,,,,YZF_R6,SSE-AD-6096281,2570.0,6500,24.0,,Single disc; Hydraulic,220.0,"Single shock absorber, Adjustable",120.0,95.0,01/12/2019,830.0,2.0,Forward,Yes,Standard,Electric,NSW,42.5,Cobbitty,Dual Sided,,No,86.0,https://www.bikesales.com.au/bikes/details/2007-yamaha-yzf-r6/SSE-AD-6096281/?Cr=33,4.0,0,183.0,Black; 3-spoke,1385.0,690.0,2007,Private
No,No,67.0,DOHC (Double Over Head Cam),EFI - Electronic Fuel Injection; Denso injectors,Engine,"Wet, Multi Plate, Slipper",black,12.0,Liquid,JAPAN,4.0,Chain - O'Ring,161.9,Inline,600.0,Piston,12.0,4 into 1,2019-07-02,,Four Piston,"Twin floating discs, Radial caliper; Hydraulic",298.0,41mm inverted telescopic fork,120.0,17.5,Left foot lever,6.0,Manual,135.0,1105.0,,26000.0,2019-06-10,2019-09-08,No,2045.0,No,Yamaha,,,,,YZF_R6,SSE-AD-6128906,3222.0,6750,24.0,,Single disc; Hydraulic,220.0,"Single shock absorber, Adjustable",120.0,95.0,01/11/2019,830.0,2.0,Forward,Yes,Standard,Electric,VIC,42.5,Drysdale,Dual Sided,,No,86.0,https://www.bikesales.com.au/bikes/details/2007-yamaha-yzf-r6/SSE-AD-6128906/?Cr=34,4.0,0,183.0,Black; 3-spoke,1385.0,690.0,2007,Private
No,No,67.0,DOHC (Double Over Head Cam),EFI - Electronic Fuel Injection; Mikuni 41EIDW/1Throttle body,Engine,Wet; Multi-disc; Coil spring,white,13.0,Liquid,JAPAN,4.0,Chain - O'Ring,166.0,Inline,600.0,Piston,12.0,4 into 1,2019-07-02,Aluminium die-cast,Four Piston,Twin disc; Hydraulic,310.0,Upside down telescopic fork,115.0,17.3,Left foot lever,6.0,Manual,130.0,1100.0,,44525.0,2019-06-24,2019-07-02,No,2040.0,No,Yamaha,101.0,,,,YZF_R6,SSE-AD-6157155,4810.0,6750,24.0,Double Piston,Single disc; Hydraulic,210.0,Swingarm (link suspension),120.0,95.0,01/10/2019,850.0,2.0,Forward,Yes,Standard,Electric,QLD,42.5,Townsville city,Dual Sided,,No,86.0,https://www.bikesales.com.au/bikes/details/2010-yamaha-yzf-r6/SSE-AD-6157155/?Cr=35,4.0,0,183.0,Black; 3-spoke,1380.0,705.0,2010,Private
No,No,67.0,DOHC (Double Over Head Cam),EFI - Electronic Fuel Injection; Denso injectors,Engine,"Wet, Multi Plate, Slipper",blue,12.0,Liquid,JAPAN,4.0,Chain - O'Ring,161.9,Inline,600.0,Piston,12.0,4 into 1,2019-07-02,,Four Piston,"Twin floating discs, Radial caliper; Hydraulic",298.0,41mm inverted telescopic fork,120.0,17.5,Left foot lever,6.0,Manual,135.0,1105.0,,50534.0,,2019-09-08,No,2045.0,No,Yamaha,,,,,YZF_R6,OAG-AD-17117866,0.0,6890,24.0,,Single disc; Hydraulic,220.0,"Single shock absorber, Adjustable",120.0,95.0,01/01/2020,830.0,2.0,Forward,Yes,Standard,Electric,QLD,42.5,none,Dual Sided,,No,86.0,https://www.bikesales.com.au/bikes/details/2007-yamaha-yzf-r6/OAG-AD-17117866/?Cr=36,4.0,0,183.0,Black; 3-spoke,1385.0,690.0,2007,Dealer
No,No,67.0,DOHC (Double Over Head Cam),EFI - Electronic Fuel Injection; Denso injectors,Engine,"Wet, Multi Plate, Slipper",black,12.0,Liquid,JAPAN,4.0,Chain - O'Ring,161.9,Inline,600.0,Piston,12.0,4 into 1,2019-07-02,,Four Piston,"Twin floating discs, Radial caliper; Hydraulic",298.0,41mm inverted telescopic fork,120.0,17.5,Left foot lever,6.0,Manual,135.0,1105.0,,25658.0,2019-05-28,2019-09-08,No,2045.0,No,Yamaha,,,,,YZF_R6,SSE-AD-6070428,5038.0,6900,24.0,,Single disc; Hydraulic,220.0,"Single shock absorber, Adjustable",120.0,95.0,01/07/2019,830.0,2.0,Forward,Yes,Standard,Electric,SA,42.5,Plympton,Dual Sided,,No,86.0,https://www.bikesales.com.au/bikes/details/2007-yamaha-yzf-r6/SSE-AD-6070428/?Cr=37,4.0,0,183.0,Black; 3-spoke,1385.0,690.0,2007,Private
No,No,67.0,DOHC (Double Over Head Cam),EFI - Electronic Fuel Injection; Denso injectors,Engine,"Wet, Multi Plate, Slipper",blue,12.0,Liquid,JAPAN,4.0,Chain - O'Ring,161.9,Inline,600.0,Piston,12.0,4 into 1,2019-07-02,,Four Piston,"Twin floating discs, Radial caliper; Hydraulic",298.0,41mm inverted telescopic fork,120.0,17.5,Left foot lever,6.0,Manual,135.0,1105.0,,24000.0,2019-06-06,2019-07-12,No,2045.0,No,Yamaha,,,,,YZF_R6,SSE-AD-5983184,5085.0,6990,24.0,,Single disc; Hydraulic,220.0,"Single shock absorber, Adjustable",120.0,95.0,01/09/2019,830.0,2.0,Forward,Yes,Standard,Electric,SA,42.5,Enfield,Dual Sided,,No,86.0,https://www.bikesales.com.au/bikes/details/2007-yamaha-yzf-r6/SSE-AD-5983184/?Cr=38,4.0,0,183.0,Black; 3-spoke,1385.0,690.0,2007,Private
No,No,67.0,DOHC (Double Over Head Cam),EFI - Electronic Fuel Injection; Mikuni 41EIDW/1Throttle body,Engine,"Wet, multiple-disc coil spring, Slipper",blue,13.0,Liquid,JAPAN,4.0,Chain - O'Ring,189.0,Inline,600.0,Piston,12.0,4 into 1,2019-07-02,Aluminium die-cast,Four Piston,"Twin disc, Radial calipers; Hydraulic",310.0,UpSide Down Telescopic fork,115.0,17.0,Left foot lever,6.0,Manual,130.0,1100.0,,44232.0,,2019-07-12,No,2040.0,No,Yamaha,101.0,,,,YZF_R6,OAG-AD-16796783,0.0,6995,24.0,Double Piston,Single disc; Hydraulic,220.0,"Swingarm (link suspension), Single shock absorber",120.0,95.0,01/01/1970,850.0,2.0,Forward,Yes,Standard,Electric,QLD,42.5,none,Dual Sided,,No,86.0,https://www.bikesales.com.au/bikes/details/2011-yamaha-yzf-r6/OAG-AD-16796783/?Cr=39,4.0,0,183.0,Black; 3-spoke,1380.0,705.0,2011,Dealer
No,No,67.0,DOHC (Double Over Head Cam),EFI - Electronic Fuel Injection; YCC-T (Yamaha Chip controlled throttle); YCC-I,Engine,"Wet, multiple-disc coil spring",red,13.0,Liquid,JAPAN,4.0,Chain - O'Ring,166.0,Inline,600.0,Piston,12.0,4 into 1,2019-07-02,Aluminium die-cast,Four Piston,Twin disc; Hydraulic,310.0,Upside down telescopic fork,115.0,17.3,Left foot lever,6.0,Manual,130.0,1100.0,,20220.0,,2019-07-12,No,2040.0,No,Yamaha,101.0,,,,YZF_R6,OAG-AD-17246104,0.0,7290,24.0,Double Piston,Single disc; Hydraulic,210.0,Swingarm (link suspension),120.0,95.0,01/01/1970,850.0,2.0,Forward,Yes,Standard,Electric,VIC,42.5,none,Dual Sided,,No,86.0,https://www.bikesales.com.au/bikes/details/2008-yamaha-yzf-r6/OAG-AD-17246104/?Cr=42,4.0,0,183.0,Black; 3-spoke,1380.0,705.0,2008,Dealer
No,No,67.0,DOHC (Double Over Head Cam),"EFI - Electronic Fuel Injection (YCC-T, YCC-I)",Alternator & Regulator-Rectifier,"Wet, Multi Plate, Torque-Limiting slipper",black,13.0,Liquid,JAPAN,4.0,Chain - O'Ring,189.0,Inline,600.0,Piston,12.0,4 into 1,2019-07-02,Aluminium deltabox,Four Piston,"Twin disc, Radial mounted calipers; Hydraulic",310.0,"41mm upside down telescopic fork, Height adjustable",115.0,17.0,Left foot lever,6.0,Manual,130.0,1100.0,,32907.0,,2019-09-08,No,2040.0,No,Yamaha,101.0,,,,YZF_R6,OAG-AD-17131910,0.0,7390,24.0,,Single disc; Hydraulic,220.0,"Monocross, Height adjustable",120.0,95.0,01/09/2019,850.0,2.0,Forward,Yes,Standard,Electric,QLD,42.5,none,Dual Sided,,No,86.0,https://www.bikesales.com.au/bikes/details/2013-yamaha-yzf-r6/OAG-AD-17131910/?Cr=43,4.0,0,183.0,5-spoke,1380.0,705.0,2013,Dealer
No,No,67.0,DOHC (Double Over Head Cam),EFI - Electronic Fuel Injection; YCC-T (Yamaha Chip controlled throttle); YCC-I,Engine,"Wet, multiple-disc coil spring",white,13.0,Liquid,JAPAN,4.0,Chain - O'Ring,166.0,Inline,600.0,Piston,12.0,4 into 1,2019-07-02,Aluminium die-cast,Four Piston,Twin disc; Hydraulic,310.0,Upside down telescopic fork,115.0,17.3,Left foot lever,6.0,Manual,130.0,1100.0,,12000.0,2019-05-14,2019-07-12,No,2040.0,No,Yamaha,101.0,,,,YZF_R6,SSE-AD-3488451,3030.0,7500,24.0,Double Piston,Single disc; Hydraulic,210.0,Swingarm (link suspension),120.0,95.0,01/06/2019,850.0,2.0,Forward,Yes,Standard,Electric,VIC,42.5,Point cook,Dual Sided,,No,86.0,https://www.bikesales.com.au/bikes/details/2008-yamaha-yzf-r6/SSE-AD-3488451/?Cr=44,4.0,0,183.0,Black; 3-spoke,1380.0,705.0,2008,Private
No,No,67.0,DOHC (Double Over Head Cam),EFI - Electronic Fuel Injection; Mikuni 41EIDW/1Throttle body,Engine,Wet; Multi-disc; Coil spring,blue,13.0,Liquid,JAPAN,4.0,Chain - O'Ring,166.0,Inline,600.0,Piston,12.0,4 into 1,2019-07-02,Aluminium die-cast,Four Piston,Twin disc; Hydraulic,310.0,Upside down telescopic fork,115.0,17.3,Left foot lever,6.0,Manual,130.0,1100.0,,4293.0,2019-05-24,2019-07-12,No,2040.0,No,Yamaha,101.0,,,,YZF_R6,SSE-AD-6031085,4213.0,8250,24.0,Double Piston,Single disc; Hydraulic,210.0,Swingarm (link suspension),120.0,95.0,01/01/1970,850.0,2.0,Forward,Yes,Standard,Electric,QLD,42.5,Bonogin,Dual Sided,,No,86.0,https://www.bikesales.com.au/bikes/details/2010-yamaha-yzf-r6/SSE-AD-6031085/?Cr=46,4.0,0,183.0,Black; 3-spoke,1380.0,705.0,2010,Private
No,No,67.0,DOHC (Double Over Head Cam),EFI - Electronic Fuel Injection; Mikuni 41EIDW/1Throttle body,Engine,"Wet, multiple-disc coil spring, Slipper",black,13.0,Liquid,JAPAN,4.0,Chain - O'Ring,189.0,Inline,600.0,Piston,12.0,4 into 1,2019-07-02,Aluminium die-cast,Four Piston,"Twin disc, Radial calipers; Hydraulic",310.0,UpSide Down Telescopic fork,115.0,17.0,Left foot lever,6.0,Manual,130.0,1100.0,,18478.0,2019-06-29,2019-09-08,No,2040.0,No,Yamaha,101.0,,,,YZF_R6,SSE-AD-5931079,4217.0,8500,24.0,Double Piston,Single disc; Hydraulic,220.0,"Swingarm (link suspension), Single shock absorber",120.0,95.0,01/05/2019,850.0,2.0,Forward,Yes,Standard,Electric,QLD,42.5,Main beach,Dual Sided,,No,86.0,https://www.bikesales.com.au/bikes/details/2011-yamaha-yzf-r6/SSE-AD-5931079/?Cr=47,4.0,0,183.0,Black; 3-spoke,1380.0,705.0,2011,Private
No,No,67.0,DOHC (Double Over Head Cam),EFI - Electronic Fuel Injection; Mikuni 41EIDW/1Throttle body,Engine,Wet; Multi-disc; Coil spring,blue,13.0,Liquid,JAPAN,4.0,Chain - O'Ring,166.0,Inline,600.0,Piston,12.0,4 into 1,2019-07-02,Aluminium die-cast,Four Piston,Twin disc; Hydraulic,310.0,Upside down telescopic fork,115.0,17.3,Left foot lever,6.0,Manual,130.0,1100.0,,10651.0,2019-06-17,2019-09-08,No,2040.0,No,Yamaha,101.0,,,,YZF_R6,SSE-AD-5363356,3400.0,8500,24.0,Double Piston,Single disc; Hydraulic,210.0,Swingarm (link suspension),120.0,95.0,01/08/2019,850.0,2.0,Forward,Yes,Standard,Electric,VIC,42.5,Horsham,Dual Sided,,No,86.0,https://www.bikesales.com.au/bikes/details/2010-yamaha-yzf-r6/SSE-AD-5363356/?Cr=48,4.0,0,183.0,Black; 3-spoke,1380.0,705.0,2010,Private
No,No,67.0,DOHC (Double Over Head Cam),EFI - Electronic Fuel Injection; Denso injectors,Engine,"Wet, Multi Plate, Slipper",black,12.0,Liquid,JAPAN,4.0,Chain - O'Ring,161.9,Inline,600.0,Piston,12.0,4 into 1,2019-07-02,,Four Piston,"Twin floating discs, Radial caliper; Hydraulic",298.0,41mm inverted telescopic fork,120.0,17.5,Left foot lever,6.0,Manual,135.0,1105.0,,8100.0,2019-06-24,2019-09-08,No,2045.0,No,Yamaha,,,,,YZF_R6,SSE-AD-6055645,2161.0,8500,24.0,,Single disc; Hydraulic,220.0,"Single shock absorber, Adjustable",120.0,95.0,01/05/2020,830.0,2.0,Forward,Yes,Standard,Electric,NSW,42.5,Guildford,Dual Sided,,No,86.0,https://www.bikesales.com.au/bikes/details/2007-yamaha-yzf-r6/SSE-AD-6055645/?Cr=49,4.0,0,183.0,Black; 3-spoke,1385.0,690.0,2007,Private
No,No,67.0,DOHC (Double Over Head Cam),EFI - Electronic Fuel Injection; Mikuni 41EIDW/1Throttle body,Engine,"Wet, multiple-disc coil spring, Slipper",black,13.0,Liquid,JAPAN,4.0,Chain - O'Ring,189.0,Inline,600.0,Piston,12.0,4 into 1,2019-07-02,Aluminium die-cast,Four Piston,"Twin disc, Radial calipers; Hydraulic",310.0,UpSide Down Telescopic fork,115.0,17.0,Left foot lever,6.0,Manual,130.0,1100.0,,7267.0,2019-07-01,2019-07-12,No,2040.0,No,Yamaha,101.0,,,,YZF_R6,SSE-AD-6137551,3429.0,8700,24.0,Double Piston,Single disc; Hydraulic,220.0,"Swingarm (link suspension), Single shock absorber",120.0,95.0,01/09/2019,850.0,2.0,Forward,Yes,Standard,Electric,VIC,42.5,Sunbury,Dual Sided,,No,86.0,https://www.bikesales.com.au/bikes/details/2011-yamaha-yzf-r6/SSE-AD-6137551/?Cr=50,4.0,0,183.0,Black; 3-spoke,1380.0,705.0,2011,Private
No,No,67.0,DOHC (Double Over Head Cam),EFI - Electronic Fuel Injection; Mikuni 41EIDW/1Throttle body,Engine,Wet; Multi-disc; Coil spring,black,13.0,Liquid,JAPAN,4.0,Chain - O'Ring,166.0,Inline,600.0,Piston,12.0,4 into 1,2019-07-02,Aluminium die-cast,Four Piston,Twin disc; Hydraulic,310.0,Upside down telescopic fork,115.0,17.3,Left foot lever,6.0,Manual,130.0,1100.0,,8500.0,2019-05-12,2019-07-12,No,2040.0,No,Yamaha,101.0,,,,YZF_R6,SSE-AD-6054952,2125.0,8990,24.0,Double Piston,Single disc; Hydraulic,210.0,Swingarm (link suspension),120.0,95.0,01/07/2019,850.0,2.0,Forward,Yes,Standard,Electric,NSW,42.5,West pennant hills,Dual Sided,,No,86.0,https://www.bikesales.com.au/bikes/details/2010-yamaha-yzf-r6/SSE-AD-6054952/?Cr=51,4.0,0,183.0,Black; 3-spoke,1380.0,705.0,2010,Private
